#Chinese	#English
靈山勝境	Vulture Peak
靈山勝境佛陀說法圖	Vulture Peak Mural
靈山勝會	Assembly on the Spiritual Mountain
靈山聖境	Sacred Site of the Spiritual Mountain
靈巖山寺	Ling Yen Shan temple
靈巧	Skillful
靈異	Supernatural
靈驗	efficacious
靈骨	Holy Relics
靈魂	Soul
靈鷲山	Vulture Peak
靈鷲山	Ling Jiou Mountain
青天有眼觀千古 大海無心納百川	Green mountains bears witness to the ageless time; Grand oceans embraces unintentionally a hundred rivers.
青天有眼觀千古 大海無私納百川	Green mountains bears witness to the ageless time; Grand oceans embrace selflessly a hundred rivers.
青山不老 細水長流	Timeless Mountain, Everflowing River
青山原不動 浮雲空去來	Green mountains remain unmoved; Fleeting clouds come and go.
青山原不動 浮雲空自來	Green mountains remain unmoved; Fleeting clouds come naturally.
青山含祖意 日月印禪心	Embodied in the green mountains, the Patriarch's heart; Reflected upon the sun and moon, the Chan mind.
青山含祖意 明月印禪心	Embodied in the green mountains, the Patriarch's heart; Reflected upon the bright moon, the Chan mind.
青山含祖意 綠水印禪心	Embodied in the green mountains, the Patriarch's heart; Reflected upon the verdant water, the Chan mind.
青山明月不見老 茅舍白雲任去來	Bright moon and green mountains: never age; White clouds and a thatched hut: come and go freely.
青山活水	The Green Mountains and Free-Flowing Water
青山綠水悟人情 松風明月養心性	Green mountains and rivers reveal true sentiments; Bright moon and pines nurture the mind's nature.
青山翠竹皆妙諦 明月綠水盡禪機	Green mountains and lush bamboos speak the wondrous truth; Bright moon and verdant waters embody the wit of Chan.
青松翠竹山河美 花紅鳥啼大地春	Emerald bamboos and green pines, beautiful nature; Crimson flowers and chirping birds, springful land.
靜修	Calm Cultivation
靜地禪坐頤養身心 海邊散步開闊胸懷 樹下小憩清涼自在 道路行走注意安全 居家團聚天倫之樂 月下沉思反省改過 心中有佛明心見性 人間修行與人為善	Nurture the body and mind in silent meditation. Broaden your mind by taking strolls along the beach. Stay calm and at peace when resting under trees. Be careful and safe when crossing roads. Enjoy time together with family at home. Reflect in the moonlight to amend your mistakes. Be mindful of the Buddha to discover your true nature. The cultivation of life is to be kind to others.
靜坐常思己過 閒談莫論人非	Reflecting on one's shortcomings in silent meditation; Avoiding gossip about wrongdoings of others.
靜念	Calm the Thought
靜觀天下事 參透世間情	Observing the happening of the world; Intuiting the insight of worldly sentiments.
靜觀天下事 參透人間情	Observing the happening of the world; Intuiting the insight of human sentiments.
靜觀天下事 參透遠見心	Observing the happening of the world; Intuiting the insight of great visions.
靜默	Quiet and Silent
非思量	without thinking
面壁	to face the wall in sitting meditation
面對問題，不要退縮	Don't turn away from your problems
面臨死亡，不要驚慌	Remain fearless in the face of death
韓國松廣寺傳統講院	The Traditional Sangha University of Songkwang Temple, South Korea
頂禮	Prostration
須在個中尋祖意 誰知此地即靈山	Should one seek the Patriarch's heart elsewhere; Who is to tell that a place of spirituality is right here.
須彌山	Mount Sumeru
須彌座	Sumeru Throne
須彌藏芥子，芥子納須彌	Mount Sumeru can contain a mustard seed, yet that same mustard seed can conceal Mount Sumeru
須菩提	Subhuti
頌揚	to praise
頓悟	sudden enlightenment
頭單書記	Head Secretary
頭單監寺	Executive Deputy Superintendent
頭城人文國小	Toucheng Humanities Elementary School
頭山門	Mountain Gate
頭陀苦行	Ascetic Practice
願力	Power of Vow
願塔	Stupa of Vow
願大地都成淨土 問世間誰是如來	I wish for all grounds to become Pure Lands; I ask the whole world who is Buddha?
願將佛手垂垂下 摸得人心一樣平	May the Buddha’s hands reach down; To smooth the hearts of people as equals.
願心	Vow
願心的昇華	As my vow sublimed
願望	Hope
顛倒	up-side down
顧問	Advisor
顯靈	Manifestation
風來花拜佛 雲去樹參天	Prostrating to the Buddha are flowers bending in the wind; Soaring into the sky are trees flying with the clouds.
風和千樹茂 雨潤百花香	Soothing breezes caress lush forests; Nourishing rain nurtures fragrant flowers.
風清月明禪門靜 春暖花開佛國香	Clear breeze, bright moon, peaceful Chan monastery; Warm spring, blooming flowers, fragrant Buddha land.
風煙有奇狀 物象歸餘清	Hazes may be obscure in form; Phenomena are pure in nature.
風調雨順	favorable weather
風雨走廊	Covered Walkway
風雲觀世態 水月證禪心	The changing world witnessed by winds and clouds; The Chan mind witnessed by Water and Moon.
飛揚十方	Soar Far and Wide
飛蛾投火，作繭自縛	like a moth flying into the flame, and a silkworm trapping itself in a cocoon
食存五觀; 1. 計功多少，量彼來處。 2. 忖己德行，全缺應供。3. 防心離過，不生瞋愛。 4. 正事良藥，為療形枯。5. 為成道業，應受此食。	Five Meal Contemplations: 1. Assess the amount of work involved, weigh up the origins of the food; 2. Reflect on one’s own moral conduct, perfect or not, take this offering; 3. Safeguard the mind against all error, do not give rise to hatred or greed; 4. Regard this food as good medicine, so as to treat the weakened body; 5. In order to accomplish the Way, one deserves to accept this food
飯來張口，茶來伸手	to be waited on hand and foot
飯頭	rice chef
養天地正氣 法古今完人	Nurture awe-inspiring righteousness; Emulate the timeless sages and virtues.
養心人	Nourisher of the Mind
養心立志	Nurture the Mind and Establish Aspirations
養志	Foster Determination
養成大拙方為巧 學到真愚始知賢	Mental agility is the ability to show wisdom in disguise of foolishness; Sagehood is not attained until one learns the true art of foolishness.
養浩然正氣 學古今聖賢	Nurture awe-inspiring righteousness; Emulate the timeless sages and virtues.
餓鬼	hungry ghost
饒益	Benefit
香光	Fragrant Light
香光亭滴水坊	Serenity Pavilion Water Drop Teahouse
香光合流	Where Fragrance and Light Merge
香光靈山	Spiritual Peak of Fragrance and Light
香口美心	Pleasant Speech, Beautiful Heart
香檀林	Sandalwood Forest
香海廣場	Gandha Square
香海正覺	Gandha
香港佛教	Hong Kong Buddhism
香火	Incense and Fire
香燈	Shrine Attendant
香積	Fragrance Accumulation
香雲廣場	Fragrant Cloud Square
香雲法雨	Fragrant Cloud, Dharma Rain
香雲蓋	incense cloud canopy
香風時雨	Fragrant Breeze and Timely Rain
馬到成功─佛光山迎春特展	FGS Year of the Horse Exhibition
駐館攝影家	Resident Photographer
駐館文學家	Resident Writer
駐館藝術家	Resident Artist
駿程萬里	The Noble Steed Gallops into a Bright Future
體用	Essence and Influence
體相用	Essence, Attribute, Influence
高僧傳	Biographies of Eminent Monks
高雄國際書展暨全民閱讀暨蔬食博覽會	Kaohsiung International Book Fair And Vegetarian Expo
高雄大樹國際水果節	Kaohsiung Dashu International Fruit Festival
高雄觀音山大覺寺	Kaohsiung Ta Chueh Temple, Kuan Yin Mountain
高高山頂立 深深海底行	Stand tall atop lofty mountains; Ponder deeply across ocean floors.
高麗大藏經	Tripitaka Koreana
鬧時鍊心 靜時養心 坐時守心 行時驗心 言時省心 動時治心	Train the mind in moments of clamor. Tame the mind in moments of stillness. Guard the mind in moments of rest. Test the mind in moments of practice. Reflect on the mind in moments of speaking. Control the mind in moments of action.
鬼門關	the gate of death
魔	mara
魔障	mara-hindrance
魚以海洋為宅 鳥以山林為園 人以屋舍為家 僧以空無為居	Fish find their homes in the sea, Birds find their gardens in the forest, Humans find their dwellings in houses, Monastics find their abodes in emptiness.
魚蝦藏身於海洋 鳥獸棲息於山林 人類安住於家國 華人散居於地球	Fish and prawns find their hidings in the ocean, Birds and animals find their nests in mountain forests, Humans find their dwellings in their homes and nations, Chinese people find their sense of belonging all across the globe.
鳥宿池邊樹 僧敲月下門	Birds nest in trees beside the pond; Monastic knock on doors beneath the moonlight.
鹿野苑	Deer Park
麥積山石窟藝術學術研討會	Academic Conference on the Maiji Shan Cave Arts
麥積山石窟藝術特展	Maiji Shan Cave Art Special Exhibition
麻竹園	Bamboo Garden Lodge
麻竹園五觀堂	Bamboo Garden Dining Hall
麻竹園法輪堂	Bamboo Garden Lodge Dharma Wheel Conference Room
麻竹園祇園廳	Bamboo Garden Lodge Jetavana Meeting Hall
麻竹園雙圓堂	Bamboo Garden Lodge Double Bliss Meeting Room
黃鶯出谷千山曉 白鳥飛空萬里春	The whole world will hear as the golden corona appears; Spring will be everywhere when the snowy birds journey across the sky.
默坐煙霞散 閒觀水月明	Sitting silently through the haze of dispersing twilight; Observing nonchalantly the light of the moon on the water.
點亮希望的燈祈福法會	The Light of Hope Candle Offering Dharma Function
點智慧	The Wisdom of Venerable Master Hsing Yun
鼓樓	Drum Tower
齊聲念佛一永日	One-Day Chanting Service
齋僧	Giving Alms
齋堂	Dining Hall
齋戒	Observance of Fasting and Precepts
齋戒活動	retreats and cultivation activity
龍亭	Dragon Pavilion
龍天	Nagas and Devas
龍天樂舞	Heaven Dances
龍天護佑	Heavenly Blessings & Protection
龍華	Dragon-flower
龍華三會	Three Meetings Beneath the Dragon-Flower Tree
龍藏	Dragon Canon
龍頭蛇尾	to start off big and end up in nothing
龜毛兔角	turtle hair and rabbit's horn
不為昨日困 昨日已過去 不被明日迷 明日尚未至 用心對今日 天天不迷困	Do not be trapped in yesterday, everything is already the past. Do not worry about tomorrow, tomorrow is not yet here. Focus wholeheartedly on today, and everyday shall be trouble-free.
白塔寺	Baita Temple
百萬人興學委員會	Million-Member Fundraising Committee
百萬心經入法身	One Million Heart Sutras in the Buddha
寶藏館	Museum of Treasures
禪悅為食	feast on the bliss of dhyana
大專佛學夏令營	College Buddhist Youth Summer Camp
當代人心思潮	Modern Thoughts, Wise Mentality
多寶白塔	Jeweled White Pagoda
法寶節	Dharma Day
發心與發展	to resolve and to develop
佛光茶	Fo Guang Tea
佛光出版社	Fo Guang Publishing House
佛光大藏經編修委員會	Fo Guang Shan Buddhist Canon Committee
佛光山文教基金會	FGS Foundation for Buddhist Culture and Education
佛光文化	Fo Guang Cultural Enterprise
佛光學報	Fo Guang Buddhist Journal
光華文理補習班	Guang Hua Tuition Center
國際佛光會會歌	BLIA Anthem
國際佛光會世界大會	BLIA World Headquarters General Conference
國際佛教促進會	International Buddhist Progress Society
國際青年生命禪學營	International Youth Seminar on Life and Ch'an
國際水果節	International Fruit Festival
好苗子計畫	Seeds of Hope Project
和諧社會	Harmonious Society
護法龍天	Dharma protectors and Devi kings
護法信徒	Dharma protectors and devotees
慧道中流	The Path of Wisdom Lies in the Middle Way
極樂淨土	Pure Land of Ultimate Bliss
極樂世界	Pure Land of Ultimate Bliss
家家彌陀佛 戶戶觀世音	Amitabha Buddha in every family; Avalokitesvara Bodhisattva in every household.
戒常住	ordination monastery
接駕	formal greeting
解門	teaching in theory
接心開示	heart-to-heart connection
晉山陞座	inaugural ceremony
覺世月刊	Awakening the World Monthly
開大座	Dharma lecture
開經偈	Sutra opening gatha
老奶奶	Madam Li Liu Yuying (Grandmother)
老奶奶紀念館	Madam Li Liu Yuying Memorial Hall
蓮花指	BLIA Lotus Mudra
靈山會上	Vulture Peak Assembly
